sample_id,agar_plate_slot,agar_plate_weight,transformation_source_well,spotting_volume,spotting_well
pEX01-BL21(DE3),1,68.94,A1,5,A1
pEX01-BL21(DE3),1,68.94,B1,5,B1
pEX01-BL21(DE3),1,68.94,C1,5,C1
pEX01-BL21(DE3),1,68.94,D1,5,D1
pEX01-BL21(DE3),1,68.94,E1,5,E1
pEX01-BL21(DE3),1,68.94,F1,5,F1
pEX01-BL21(DE3),1,68.94,G1,5,G1
pEX01-BL21(DE3),1,68.94,H1,5,H1
pEX02-BL21(DE3),1,68.94,A2,5,A2
pEX02-BL21(DE3),1,68.94,B2,5,B2
pEX02-BL21(DE3),1,68.94,C2,5,C2
pEX02-BL21(DE3),1,68.94,D2,5,D2
pEX02-BL21(DE3),1,68.94,E2,5,E2
pEX02-BL21(DE3),1,68.94,F2,5,F2
pEX02-BL21(DE3),1,68.94,G2,5,G2
pEX02-BL21(DE3),1,68.94,H2,5,H2
pEX03-BL21(DE3),1,68.94,A3,5,A3
pEX03-BL21(DE3),1,68.94,B3,5,B3
pEX03-BL21(DE3),1,68.94,C3,5,C3
pEX03-BL21(DE3),1,68.94,D3,5,D3
pEX03-BL21(DE3),1,68.94,E3,5,E3
pEX03-BL21(DE3),1,68.94,F3,5,F3
pEX03-BL21(DE3),1,68.94,G3,5,G3
pEX03-BL21(DE3),1,68.94,H3,5,H3
pEX04-BL21(DE3),1,68.94,A4,5,A4
pEX04-BL21(DE3),1,68.94,B4,5,B4
pEX04-BL21(DE3),1,68.94,C4,5,C4
pEX04-BL21(DE3),1,68.94,D4,5,D4
pEX04-BL21(DE3),1,68.94,E4,5,E4
pEX04-BL21(DE3),1,68.94,F4,5,F4
pEX04-BL21(DE3),1,68.94,G4,5,G4
pEX04-BL21(DE3),1,68.94,H4,5,H4
pEX05-BL21(DE3),1,68.94,A5,5,A5
pEX05-BL21(DE3),1,68.94,B5,5,B5
pEX05-BL21(DE3),1,68.94,C5,5,C5
pEX05-BL21(DE3),1,68.94,D5,5,D5
pEX05-BL21(DE3),1,68.94,E5,5,E5
pEX05-BL21(DE3),1,68.94,F5,5,F5
pEX05-BL21(DE3),1,68.94,G5,5,G5
pEX05-BL21(DE3),1,68.94,H5,5,H5
pEX06-BL21(DE3),1,68.94,A6,5,A6
pEX06-BL21(DE3),1,68.94,B6,5,B6
pEX06-BL21(DE3),1,68.94,C6,5,C6
pEX06-BL21(DE3),1,68.94,D6,5,D6
pEX06-BL21(DE3),1,68.94,E6,5,E6
pEX06-BL21(DE3),1,68.94,F6,5,F6
pEX06-BL21(DE3),1,68.94,G6,5,G6
pEX06-BL21(DE3),1,68.94,H6,5,H6
pEX07-BL21(DE3),1,68.94,A7,5,A7
pEX07-BL21(DE3),1,68.94,B7,5,B7
pEX07-BL21(DE3),1,68.94,C7,5,C7
pEX07-BL21(DE3),1,68.94,D7,5,D7
pEX07-BL21(DE3),1,68.94,E7,5,E7
pEX07-BL21(DE3),1,68.94,F7,5,F7
pEX07-BL21(DE3),1,68.94,G7,5,G7
pEX07-BL21(DE3),1,68.94,H7,5,H7
pEX08-BL21(DE3),1,68.94,A8,5,A8
pEX08-BL21(DE3),1,68.94,B8,5,B8
pEX08-BL21(DE3),1,68.94,C8,5,C8
pEX08-BL21(DE3),1,68.94,D8,5,D8
pEX08-BL21(DE3),1,68.94,E8,5,E8
pEX08-BL21(DE3),1,68.94,F8,5,F8
pEX08-BL21(DE3),1,68.94,G8,5,G8
pEX08-BL21(DE3),1,68.94,H8,5,H8
pEX09-BL21(DE3),1,68.94,A9,5,A9
pEX09-BL21(DE3),1,68.94,B9,5,B9
pEX09-BL21(DE3),1,68.94,C9,5,C9
pEX09-BL21(DE3),1,68.94,D9,5,D9
pEX09-BL21(DE3),1,68.94,E9,5,E9
pEX09-BL21(DE3),1,68.94,F9,5,F9
pEX09-BL21(DE3),1,68.94,G9,5,G9
pEX09-BL21(DE3),1,68.94,H9,5,H9
pEX010-BL21(DE3),1,68.94,A10,5,A10
pEX010-BL21(DE3),1,68.94,B10,5,B10
pEX010-BL21(DE3),1,68.94,C10,5,C10
pEX010-BL21(DE3),1,68.94,D10,5,D10
pEX010-BL21(DE3),1,68.94,E10,5,E10
pEX010-BL21(DE3),1,68.94,F10,5,F10
pEX010-BL21(DE3),1,68.94,G10,5,G10
pEX010-BL21(DE3),1,68.94,H10,5,H10
pEX011-BL21(DE3),1,68.94,A11,5,A11
pEX011-BL21(DE3),1,68.94,B11,5,B11
pEX011-BL21(DE3),1,68.94,C11,5,C11
pEX011-BL21(DE3),1,68.94,D11,5,D11
pEX011-BL21(DE3),1,68.94,E11,5,E11
pEX011-BL21(DE3),1,68.94,F11,5,F11
pEX011-BL21(DE3),1,68.94,G11,5,G11
pEX011-BL21(DE3),1,68.94,H11,5,H11
pEX012-BL21(DE3),1,68.94,A12,5,A12
pEX012-BL21(DE3),1,68.94,B12,5,B12
pEX012-BL21(DE3),1,68.94,C12,5,C12
pEX012-BL21(DE3),1,68.94,D12,5,D12
pEX012-BL21(DE3),1,68.94,E12,5,E12
pEX012-BL21(DE3),1,68.94,F12,5,F12
pEX012-BL21(DE3),1,68.94,G12,5,G12
pEX012-BL21(DE3),1,68.94,H12,5,H12
